loan_id,customer_id,application_date,disbursement_date,product_type,channel,province,age,employment_type,monthly_income_idr,loan_amount_idr,tenor_months,interest_rate_pct,credit_score,dti_ratio,status
LN001240,CUS03133,2022-02-01,,Education Loan,Mobile App,DKI Jakarta,45,Employed,6207156,17435821,1,2.72,660,280.9,Pending
LN001241,CUS02754,2022-05-21,,KTA (Personal Loan),Mobile App,DKI Jakarta,28,Employed,4390855,40803355,18,1.69,632,51.63,Rejected
LN001242,CUS03365,2022-07-04,2022-07-08,PayLater,Mobile App,Jawa Timur,30,Employed,2845938,1674681,12,1.73,741,4.9,Approved
LN001243,CUS01104,2023-08-06,,Business Loan,Mobile App,Jawa Timur,27,Self-Employed,11122485,33228076,18,3.63,621,16.6,Rejected
LN001244,CUS02361,2023-12-14,,Business Loan,Partner API,Jawa Timur,23,Employed,8730277,90781111,12,3.12,668,86.65,Pending
LN001245,CUS00165,2023-12-13,2023-12-16,PayLater,Agent,Jawa Barat,26,Freelancer,3478126,4746337,12,2.88,753,11.37,Approved
LN001246,CUS03126,2023-07-21,,PayLater,Mobile App,Kalimantan Timur,22,Employed,6740343,2753350,1,2.17,643,40.85,Pending
LN001247,CUS03098,2023-04-09,2023-04-13,PayLater,Mobile App,Sulawesi Selatan,32,Business Owner,6902510,3358666,12,2.38,667,4.05,Approved
LN001248,CUS00718,2023-02-03,,Business Loan,Mobile App,Jawa Tengah,25,Employed,7350869,128590866,6,2.5,642,291.55,Rejected
LN001249,CUS01928,2024-07-20,,Business Loan,Agent,DIY Yogyakarta,33,Business Owner,1809199,35188844,1,3.16,748,1945.0,Pending
LN001250,CUS02126,2024-04-07,,PayLater,Mobile App,Jawa Barat,19,Freelancer,9146779,2256335,1,2.7,629,24.67,Pending
LN001251,CUS02669,2022-01-10,2022-01-14,PayLater,Web,Jawa Tengah,34,Employed,3552382,3681225,36,2.76,752,2.88,Approved
LN001252,CUS01812,2023-06-19,,Business Loan,Mobile App,Kalimantan Timur,38,Employed,4033930,194678118,6,2.42,641,804.34,Rejected
LN001253,CUS01140,2022-12-25,,Education Loan,Mobile App,Jawa Tengah,18,Employed,24341116,9200443,24,2.9,581,1.57,Pending
LN001254,CUS00744,2024-04-13,,Business Loan,Mobile App,Jawa Tengah,34,Business Owner,5992819,87983959,36,2.65,704,40.78,Rejected
LN001255,CUS02398,2024-11-02,2024-11-05,KTA (Personal Loan),Mobile App,DKI Jakarta,41,Business Owner,3965549,9279220,24,2.52,625,9.75,Approved
LN001256,CUS01786,2022-08-07,2022-08-12,PayLater,Mobile App,DKI Jakarta,22,Employed,1500000,1590694,24,2.13,699,4.42,Approved
LN001257,CUS02601,2022-05-29,,KTA (Personal Loan),Mobile App,DKI Jakarta,45,Employed,11510922,21954170,24,2.44,431,7.95,Pending
LN001258,CUS03336,2024-10-27,2024-10-28,PayLater,Mobile App,Jawa Tengah,35,Employed,2230692,2932894,6,1.96,650,21.91,Approved
LN001259,CUS02015,2023-08-26,,Business Loan,Web,Jawa Barat,26,Employed,2738402,53807707,3,2.48,613,654.98,Pending
LN001260,CUS00374,2023-11-28,,PayLater,Web,DKI Jakarta,31,Employed,4098522,1524031,12,2.54,564,3.1,Pending
LN001261,CUS01926,2022-08-28,,Business Loan,Web,Jawa Tengah,36,Employed,11696445,157787696,12,1.3,605,112.42,Pending
LN001262,CUS01426,2024-11-17,,PayLater,Mobile App,Jawa Timur,32,Employed,7951669,4831887,1,2.38,604,60.77,Rejected
LN001263,CUS01673,2023-06-12,,Business Loan,Mobile App,Banten,36,Freelancer,4548217,71486463,12,1.91,646,130.98,Pending
LN001264,CUS01366,2023-05-28,,PayLater,Partner API,Sumatera Utara,24,Employed,6015943,3595964,12,2.75,540,4.98,Rejected
LN001265,CUS01316,2024-06-25,2024-06-29,PayLater,Mobile App,Jawa Tengah,33,Employed,3487574,1661362,24,2.82,675,1.98,Approved
LN001266,CUS02745,2024-02-12,,KTA (Personal Loan),Agent,Jawa Barat,20,Employed,5437014,46757851,12,2.29,759,71.67,Rejected
LN001267,CUS00429,2024-09-17,2024-09-18,PayLater,Partner API,Jawa Timur,31,Student,5224922,3528060,12,2.77,672,5.63,Approved
LN001268,CUS00659,2023-05-14,,Education Loan,Mobile App,DKI Jakarta,24,Business Owner,8941468,25066921,6,2.8,714,46.72,Rejected
LN001269,CUS01351,2023-11-27,2023-11-28,KTA (Personal Loan),Partner API,Jawa Timur,26,Employed,8932933,7220931,12,2.39,737,6.74,Approved
LN001270,CUS01687,2024-07-28,2024-08-01,KTA (Personal Loan),Web,Jawa Barat,41,Business Owner,6724948,31932768,36,3.27,748,13.19,Approved
LN001271,CUS02842,2024-08-01,,Business Loan,Web,Jawa Tengah,40,Business Owner,4023005,110246342,3,2.14,799,913.47,Pending
LN001272,CUS02030,2022-02-26,,Business Loan,Partner API,Jawa Barat,36,Freelancer,7803179,65669412,6,3.24,610,140.26,Pending
LN001273,CUS01181,2024-09-14,,KTA (Personal Loan),Mobile App,DKI Jakarta,23,Freelancer,4731568,16809349,12,2.39,592,29.6,Rejected
LN001274,CUS02714,2022-08-27,,Education Loan,Web,Jawa Barat,29,Employed,2612452,19500620,6,2.08,712,124.41,Rejected
LN001275,CUS01641,2023-06-13,2023-06-18,PayLater,Web,Jawa Barat,41,Employed,3925388,3679185,6,2.32,706,15.62,Approved
LN001276,CUS03333,2022-05-19,2022-05-21,PayLater,Partner API,Bali,33,Business Owner,5260121,649277,6,1.95,712,2.06,Approved
LN001277,CUS03116,2024-02-23,,KTA (Personal Loan),Web,Kalimantan Timur,50,Student,8632786,30533071,3,2.89,801,117.9,Pending
LN001278,CUS02254,2023-03-28,2023-03-30,PayLater,Mobile App,Jawa Timur,35,Employed,4478647,1267067,6,1.7,650,4.72,Approved
LN001279,CUS00151,2023-04-16,,KTA (Personal Loan),Mobile App,Sulawesi Selatan,33,Employed,2420365,11316322,24,3.19,684,19.48,Pending
LN001280,CUS01863,2023-10-09,,PayLater,Agent,Banten,29,Employed,5173155,3304037,12,2.03,571,5.32,Pending
LN001281,CUS00361,2024-04-24,2024-04-28,PayLater,Mobile App,Jawa Barat,33,Employed,5352220,1898915,3,2.92,820,11.83,Approved
LN001282,CUS01289,2023-12-25,,Business Loan,Mobile App,Jawa Timur,30,Employed,5589783,93767244,6,2.51,623,279.58,Pending
LN001283,CUS01034,2024-11-23,,KTA (Personal Loan),Mobile App,DKI Jakarta,37,Employed,8682945,21199946,3,2.64,625,81.39,Rejected
LN001284,CUS01325,2022-01-20,,Education Loan,Mobile App,Jawa Timur,39,Student,9214624,21208408,24,2.2,622,9.59,Pending
LN001285,CUS00475,2023-06-24,,Business Loan,Mobile App,DKI Jakarta,25,Business Owner,3500519,99322755,6,2.68,598,472.9,Pending
LN001286,CUS03165,2023-05-24,2023-05-27,PayLater,Mobile App,Sumatera Utara,21,Business Owner,3454756,4835563,36,2.57,591,3.89,Approved
LN001287,CUS01656,2023-08-12,,PayLater,Mobile App,Jawa Tengah,18,Employed,2678665,2085722,6,1.77,608,12.98,Pending
LN001288,CUS02108,2022-07-10,,PayLater,Partner API,DKI Jakarta,36,Freelancer,7604402,3831279,18,2.02,540,2.8,Rejected
LN001289,CUS03379,2024-03-28,,Business Loan,Mobile App,Sulawesi Selatan,23,Employed,11926108,58885587,6,2.23,587,82.29,Rejected
LN001290,CUS00005,2023-12-02,,PayLater,Web,Sulawesi Selatan,18,Employed,4138729,2789388,1,2.12,805,67.4,Rejected
LN001291,CUS02694,2022-06-05,,PayLater,Mobile App,Sumatera Utara,35,Freelancer,4325724,2986563,1,3.13,708,69.04,Pending
LN001292,CUS02223,2023-01-01,2023-01-04,Education Loan,Partner API,Banten,51,Self-Employed,12055336,13227732,12,2.5,724,9.14,Approved
LN001293,CUS01893,2024-09-02,,KTA (Personal Loan),Web,Jawa Timur,31,Employed,6771838,26230123,6,2.11,744,64.56,Rejected
LN001294,CUS01693,2023-10-05,2023-10-10,PayLater,Mobile App,Jawa Barat,38,Freelancer,6495952,1756753,6,2.25,796,4.51,Approved
LN001295,CUS00223,2023-12-26,,PayLater,Mobile App,DKI Jakarta,32,Student,2447061,527003,18,2.25,508,1.2,Rejected
LN001296,CUS00769,2023-03-24,,Business Loan,Partner API,Jawa Barat,31,Freelancer,7513299,50973177,3,2.36,551,226.15,Rejected
LN001297,CUS02124,2023-07-06,,Business Loan,Web,Jawa Barat,39,Employed,2863246,143012192,6,1.96,585,832.46,Pending
LN001298,CUS01482,2023-01-10,2023-01-14,PayLater,Agent,Jawa Barat,29,Employed,2532041,3969333,18,2.09,612,8.71,Approved
LN001299,CUS02551,2023-01-25,,PayLater,Mobile App,Jawa Tengah,34,Employed,4060779,1760912,12,2.88,625,3.61,Pending
LN001300,CUS03099,2024-10-18,,Business Loan,Agent,DKI Jakarta,34,Self-Employed,3518244,87528169,18,2.59,614,138.21,Pending
LN001301,CUS02042,2023-02-13,,Business Loan,Mobile App,DKI Jakarta,26,Student,4377501,17099475,6,2.42,667,65.1,Rejected
LN001302,CUS02562,2023-04-26,,Business Loan,Mobile App,Jawa Timur,39,Freelancer,2106123,55041951,6,2.5,652,435.57,Pending
LN001303,CUS01811,2023-05-11,,KTA (Personal Loan),Mobile App,DKI Jakarta,30,Freelancer,8888227,40064867,3,2.48,592,150.25,Pending
LN001304,CUS03113,2023-06-28,,Education Loan,Mobile App,DKI Jakarta,25,Employed,9836005,20149656,24,2.4,475,8.54,Rejected
LN001305,CUS00212,2023-02-28,2023-03-03,PayLater,Web,Jawa Barat,36,Business Owner,1554311,1425967,24,2.76,570,3.82,Approved
LN001306,CUS00834,2023-04-15,2023-04-16,PayLater,Agent,DKI Jakarta,24,Business Owner,8993594,1658488,36,2.72,606,0.51,Approved
LN001307,CUS01094,2023-02-20,,KTA (Personal Loan),Agent,Bali,32,Employed,3074433,41756091,6,1.71,630,226.36,Rejected
LN001308,CUS02250,2023-05-27,,KTA (Personal Loan),Web,Jawa Timur,31,Employed,8361377,14408789,18,2.43,559,9.57,Rejected
LN001309,CUS00537,2023-12-31,,Business Loan,Mobile App,Jawa Barat,40,Business Owner,4798819,73489967,6,1.75,610,255.24,Pending
LN001310,CUS01180,2022-11-16,,PayLater,Agent,DKI Jakarta,35,Employed,5087076,3489614,12,2.82,559,5.72,Pending
LN001311,CUS01795,2022-08-07,,Business Loan,Web,Jawa Barat,31,Freelancer,4474431,116611353,18,2.88,639,144.79,Pending
LN001312,CUS02861,2022-09-03,,PayLater,Agent,Jawa Timur,38,Employed,10347194,2573915,3,2.19,564,8.29,Pending
LN001313,CUS01986,2022-06-10,,KTA (Personal Loan),Agent,Bali,43,Employed,2376633,45488349,3,2.44,582,637.99,Rejected
LN001314,CUS00498,2024-10-05,2024-10-09,PayLater,Mobile App,Jawa Tengah,36,Student,7200439,1488697,6,1.44,545,3.45,Approved
LN001315,CUS00119,2022-01-14,,KTA (Personal Loan),Mobile App,Jawa Timur,32,Student,9681685,38363895,18,2.99,637,22.01,Pending
LN001316,CUS02581,2022-03-28,,KTA (Personal Loan),Mobile App,DKI Jakarta,21,Business Owner,7684781,12157872,6,2.85,580,26.37,Pending
LN001317,CUS02494,2024-09-14,,PayLater,Partner API,Jawa Timur,23,Business Owner,20171228,3270802,6,3.08,722,2.7,Pending
LN001318,CUS03274,2024-01-31,2024-02-04,PayLater,Partner API,DKI Jakarta,29,Student,3640313,4417806,36,3.24,682,3.37,Approved
LN001319,CUS00981,2023-10-08,,KTA (Personal Loan),Web,DKI Jakarta,27,Freelancer,8880170,25605580,6,1.89,644,48.06,Pending
LN001320,CUS02908,2024-10-05,,Business Loan,Mobile App,Jawa Tengah,30,Self-Employed,4691646,147615956,3,2.94,586,1048.79,Pending
LN001321,CUS00649,2023-07-17,2023-07-19,PayLater,Mobile App,DKI Jakarta,32,Business Owner,10480134,4191770,12,3.24,680,3.33,Approved
LN001322,CUS01273,2024-10-02,2024-10-04,PayLater,Agent,Banten,36,Self-Employed,4976986,1112118,18,1.75,705,1.24,Approved
LN001323,CUS02257,2023-01-10,,PayLater,Mobile App,Kalimantan Timur,31,Self-Employed,3961855,3676221,1,2.41,661,92.79,Rejected
LN001324,CUS00057,2024-11-12,,Education Loan,Web,Jawa Barat,35,Freelancer,10947172,27996025,12,2.32,778,21.31,Rejected
LN001325,CUS02263,2023-07-28,,PayLater,Agent,Jawa Barat,32,Business Owner,3722891,3093667,1,2.93,686,83.1,Pending
LN001326,CUS01672,2024-03-25,2024-03-29,PayLater,Partner API,DKI Jakarta,18,Business Owner,2142133,1337550,12,1.3,723,5.2,Approved
LN001327,CUS00382,2023-03-31,,Business Loan,Web,Jawa Barat,24,Employed,3666838,34119081,6,3.41,660,155.08,Pending
LN001328,CUS00921,2022-09-20,,KTA (Personal Loan),Mobile App,Jawa Tengah,30,Self-Employed,7248957,16688089,6,2.44,704,38.37,Pending
LN001329,CUS03447,2022-04-21,,PayLater,Web,Jawa Barat,22,Employed,11526643,965809,12,2.96,586,0.7,Pending
LN001330,CUS00465,2024-12-12,,Education Loan,Mobile App,Jawa Timur,36,Self-Employed,5344754,17834851,24,2.47,613,13.9,Rejected
LN001331,CUS01891,2024-05-16,2024-05-17,KTA (Personal Loan),Web,Jawa Timur,44,Self-Employed,11027103,8136710,18,2.75,677,4.1,Approved
LN001332,CUS00482,2024-09-06,,KTA (Personal Loan),Mobile App,DKI Jakarta,41,Business Owner,2213407,15053208,24,1.34,677,28.34,Rejected
LN001333,CUS02654,2022-03-08,2022-03-11,PayLater,Partner API,Jawa Timur,30,Employed,3832356,2479596,12,2.31,690,5.39,Approved
LN001334,CUS03409,2024-10-26,,Business Loan,Agent,Sulawesi Selatan,43,Employed,4205077,100043802,1,2.92,738,2379.12,Pending
LN001335,CUS00631,2023-12-13,,PayLater,Agent,DKI Jakarta,33,Freelancer,4667867,3044293,6,2.64,536,10.87,Pending
LN001336,CUS02042,2024-03-17,,PayLater,Mobile App,Jawa Tengah,29,Student,5258756,3675267,24,1.68,572,2.91,Pending
LN001337,CUS02936,2022-12-24,2022-12-25,PayLater,Mobile App,Jawa Timur,27,Employed,7568421,712528,12,2.53,668,0.78,Approved
LN001338,CUS01196,2024-07-25,,Business Loan,Mobile App,Jawa Timur,29,Employed,3828809,25317980,36,2.09,592,18.37,Rejected
LN001339,CUS02085,2022-09-04,2022-09-06,KTA (Personal Loan),Mobile App,Jawa Barat,28,Employed,5434976,7738661,3,2.05,850,47.46,Approved
LN001340,CUS02890,2024-11-27,,KTA (Personal Loan),Mobile App,Sumatera Utara,33,Business Owner,4866447,24041764,6,1.74,691,82.34,Pending
LN001341,CUS01120,2024-07-31,2024-08-03,PayLater,Web,Jawa Tengah,33,Self-Employed,2868829,688315,6,2.81,643,4.0,Approved
LN001342,CUS01702,2023-10-09,,KTA (Personal Loan),Mobile App,Jawa Barat,32,Self-Employed,4670368,38573657,6,3.06,608,137.65,Pending
LN001343,CUS03420,2022-01-18,,Business Loan,Mobile App,Jawa Timur,35,Self-Employed,4587073,52370034,6,3.56,611,190.28,Pending
LN001344,CUS01977,2022-01-25,,PayLater,Web,Kalimantan Timur,41,Self-Employed,4528494,4726456,6,1.76,652,17.4,Pending
LN001345,CUS01935,2023-03-08,,Business Loan,Mobile App,Sumatera Utara,39,Employed,5096191,102416713,12,2.88,658,167.47,Pending
LN001346,CUS00999,2024-02-17,2024-02-22,PayLater,Mobile App,Kalimantan Timur,20,Business Owner,5232253,2508465,6,2.92,613,7.99,Approved
LN001347,CUS01871,2022-07-26,,Business Loan,Mobile App,Jawa Barat,18,Business Owner,3857660,158302351,1,2.21,628,4103.58,Pending
LN001348,CUS02258,2023-10-29,2023-11-02,PayLater,Web,DKI Jakarta,39,Business Owner,10730248,3709192,18,2.04,757,1.92,Approved
LN001349,CUS00593,2024-01-11,,KTA (Personal Loan),Web,Jawa Tengah,21,Freelancer,2478737,32328906,12,1.96,760,108.69,Pending
LN001350,CUS01572,2023-06-16,,Education Loan,Mobile App,DKI Jakarta,30,Business Owner,3244158,28378667,12,2.24,670,72.9,Pending
LN001351,CUS00781,2023-01-19,,Education Loan,Mobile App,Jawa Timur,22,Employed,26507191,15556481,12,2.6,542,4.89,Pending
LN001352,CUS02456,2023-06-23,2023-06-25,PayLater,Mobile App,DKI Jakarta,18,Employed,2682215,4138392,24,3.18,693,6.43,Approved
LN001353,CUS02082,2023-05-01,,PayLater,Mobile App,Jawa Tengah,36,Business Owner,2219285,2210418,12,3.05,774,8.3,Pending
LN001354,CUS03057,2023-07-06,2023-07-09,PayLater,Mobile App,Jawa Timur,38,Employed,7768864,4272555,24,1.69,759,2.29,Approved
LN001355,CUS00560,2024-08-23,,Business Loan,Partner API,Jawa Tengah,27,Employed,1500000,59300179,12,2.11,708,329.45,Rejected
LN001356,CUS00286,2023-12-04,,KTA (Personal Loan),Mobile App,DKI Jakarta,18,Employed,4341732,18017018,6,3.15,763,69.16,Rejected
LN001357,CUS01132,2024-01-20,2024-01-22,PayLater,Mobile App,Sulawesi Selatan,27,Student,18118488,3550412,6,2.13,654,3.27,Approved
LN001358,CUS03165,2023-01-12,2023-01-17,PayLater,Mobile App,Banten,35,Employed,1978771,1457209,12,2.47,700,6.14,Approved
LN001359,CUS03236,2024-10-18,,Education Loan,Mobile App,Jawa Timur,20,Employed,1522356,10728854,12,1.65,595,58.73,Rejected
LN001360,CUS03500,2024-05-18,,KTA (Personal Loan),Mobile App,Jawa Timur,33,Freelancer,2033847,18736809,12,3.08,673,76.77,Rejected
LN001361,CUS01700,2023-03-08,2023-03-13,PayLater,Mobile App,Jawa Barat,31,Self-Employed,8571593,3555179,3,1.54,756,13.83,Approved
LN001362,CUS01393,2024-05-08,,PayLater,Mobile App,Jawa Barat,36,Employed,9818849,4502246,12,1.68,602,3.82,Pending
LN001363,CUS03227,2024-02-02,,PayLater,Agent,DKI Jakarta,32,Business Owner,3676218,3535554,18,3.03,581,5.34,Rejected
LN001364,CUS02080,2024-01-18,,KTA (Personal Loan),Agent,Sumatera Utara,24,Employed,7533542,42251640,12,3.46,657,46.74,Pending
LN001365,CUS01095,2024-03-31,,Education Loan,Partner API,Jawa Barat,41,Business Owner,11514315,18589014,12,2.35,631,13.45,Pending
LN001366,CUS03361,2023-07-27,2023-07-29,Business Loan,Mobile App,Jawa Timur,30,Self-Employed,14612038,23095412,36,2.48,701,4.39,Approved
LN001367,CUS00011,2024-07-12,,KTA (Personal Loan),Mobile App,Jawa Barat,31,Employed,4313013,9520979,6,2.95,613,36.79,Pending
LN001368,CUS01159,2023-01-04,,Business Loan,Web,Banten,24,Business Owner,1500000,115334475,3,2.64,787,2562.99,Rejected
LN001369,CUS02974,2022-09-26,,PayLater,Mobile App,DKI Jakarta,28,Employed,3055400,1975104,18,2.31,546,3.59,Pending
LN001370,CUS01223,2023-04-14,2023-04-15,PayLater,Mobile App,Jawa Timur,24,Self-Employed,3870390,1492556,3,2.26,750,12.85,Approved
LN001371,CUS03431,2022-07-24,2022-07-25,Education Loan,Web,Sumatera Utara,30,Business Owner,4280520,16656423,18,1.72,588,21.62,Approved
LN001372,CUS02405,2023-07-07,,PayLater,Mobile App,Jawa Timur,45,Employed,4467023,3499235,3,2.62,506,26.11,Pending
LN001373,CUS02376,2023-04-28,2023-04-29,PayLater,Mobile App,Jawa Timur,21,Employed,9784257,2232463,1,2.45,669,22.82,Approved
LN001374,CUS02704,2024-06-04,,Education Loan,Mobile App,Jawa Tengah,19,Student,10741287,25063556,3,2.28,629,77.78,Pending
LN001375,CUS02006,2024-02-20,,PayLater,Partner API,Jawa Tengah,43,Self-Employed,4510615,3823354,6,2.0,561,14.13,Rejected
LN001376,CUS00609,2023-02-06,,Business Loan,Web,DKI Jakarta,30,Self-Employed,9665171,149633827,3,2.05,515,516.06,Pending
LN001377,CUS01830,2022-10-26,,Education Loan,Web,Jawa Barat,26,Employed,6196810,29629742,3,2.81,649,159.38,Pending
LN001378,CUS02207,2022-11-03,2022-11-07,KTA (Personal Loan),Mobile App,Banten,40,Employed,5197311,18285348,18,2.94,728,19.55,Approved
LN001379,CUS01984,2024-08-26,2024-08-30,PayLater,Partner API,Kalimantan Timur,27,Self-Employed,8613789,3401265,18,2.34,696,2.19,Approved
LN001380,CUS01414,2022-01-20,,PayLater,Agent,Jawa Tengah,46,Employed,5221523,4349652,18,2.28,654,4.63,Pending
LN001381,CUS01362,2022-12-28,2023-01-02,PayLater,Web,Banten,37,Employed,17186507,3107859,18,2.07,688,1.0,Approved
LN001382,CUS02261,2024-05-13,,PayLater,Mobile App,Jawa Timur,28,Self-Employed,2109373,4052759,6,2.97,647,32.02,Pending
LN001383,CUS03125,2024-10-20,,Business Loan,Partner API,DIY Yogyakarta,49,Employed,3670527,88745915,24,2.52,535,100.74,Pending
LN001384,CUS02226,2022-10-03,2022-10-04,PayLater,Web,Banten,27,Self-Employed,4634491,3157211,12,2.68,536,5.68,Approved
LN001385,CUS01546,2024-11-24,,PayLater,Partner API,Jawa Timur,37,Business Owner,6508503,750498,12,2.68,633,0.96,Rejected
LN001386,CUS01866,2024-12-29,,KTA (Personal Loan),Web,DKI Jakarta,34,Employed,10699683,49359542,18,2.35,637,25.63,Rejected
LN001387,CUS01319,2023-10-09,,KTA (Personal Loan),Partner API,Jawa Barat,42,Business Owner,4927337,41000831,3,1.92,718,277.37,Rejected
LN001388,CUS00773,2024-09-23,,Business Loan,Web,Jawa Barat,44,Employed,2129953,175073723,18,2.0,710,456.64,Rejected
LN001389,CUS02857,2023-09-07,2023-09-12,PayLater,Mobile App,Sumatera Utara,32,Student,8289140,3624324,6,3.06,698,7.29,Approved
LN001390,CUS00979,2023-05-29,,Business Loan,Mobile App,Jawa Barat,25,Student,7864926,45349506,3,2.14,627,192.2,Pending
LN001391,CUS02343,2022-04-08,,KTA (Personal Loan),Mobile App,Jawa Tengah,35,Business Owner,1559433,6396279,3,2.29,539,136.72,Rejected
LN001392,CUS01569,2024-03-26,2024-03-28,PayLater,Mobile App,Bali,26,Employed,4988600,4390954,3,1.93,682,29.34,Approved
LN001393,CUS00957,2022-07-22,2022-07-26,PayLater,Web,Sumatera Utara,48,Freelancer,1925821,2283487,24,1.89,692,4.94,Approved
LN001394,CUS03177,2022-12-01,,PayLater,Mobile App,Banten,33,Student,3355655,1687391,36,2.12,458,1.4,Rejected
LN001395,CUS01683,2022-05-03,,KTA (Personal Loan),Mobile App,DKI Jakarta,29,Employed,2908834,30275283,6,3.34,583,173.47,Rejected
LN001396,CUS00179,2023-03-18,,PayLater,Mobile App,DKI Jakarta,33,Self-Employed,8125414,2394043,6,2.83,594,4.91,Rejected
LN001397,CUS01304,2023-06-05,,Education Loan,Mobile App,DKI Jakarta,21,Employed,5363067,21291649,3,2.24,659,132.34,Pending
LN001398,CUS03051,2024-09-02,,KTA (Personal Loan),Partner API,Banten,24,Employed,2311931,26770695,18,3.04,585,64.33,Pending
LN001399,CUS01938,2022-07-17,,Education Loan,Partner API,Jawa Barat,41,Self-Employed,8478024,22430828,3,2.42,646,88.19,Rejected
LN001400,CUS02889,2024-07-10,2024-07-12,PayLater,Partner API,DKI Jakarta,26,Self-Employed,2115210,4340404,24,3.18,633,8.55,Approved
LN001401,CUS03324,2023-11-17,,PayLater,Mobile App,Banten,23,Employed,6095228,1380006,12,3.61,637,1.89,Pending
LN001402,CUS01562,2023-06-17,2023-06-21,PayLater,Mobile App,DKI Jakarta,36,Employed,3068017,1982447,24,3.01,592,2.69,Approved
LN001403,CUS01582,2024-01-10,2024-01-13,PayLater,Agent,Jawa Tengah,41,Business Owner,4014977,2465670,12,2.55,598,5.12,Approved
LN001404,CUS02719,2024-01-08,,Business Loan,Mobile App,Banten,37,Employed,6766610,192791105,12,2.85,563,237.43,Pending
LN001405,CUS03246,2023-06-12,2023-06-15,PayLater,Web,Jawa Timur,39,Self-Employed,6836716,2144001,12,2.51,680,2.61,Approved
LN001406,CUS03362,2023-12-06,2023-12-11,PayLater,Partner API,DIY Yogyakarta,25,Self-Employed,11152005,2214949,18,1.58,695,1.1,Approved
LN001407,CUS02671,2022-02-10,,PayLater,Mobile App,Jawa Barat,20,Self-Employed,4759229,3440626,18,2.17,588,4.02,Pending
LN001408,CUS00624,2024-04-23,2024-04-28,PayLater,Mobile App,Jawa Barat,44,Employed,6009300,2386398,12,2.02,771,3.31,Approved
LN001409,CUS02029,2022-09-06,,Business Loan,Mobile App,DKI Jakarta,29,Self-Employed,3845084,190732511,12,2.16,624,413.37,Pending
LN001410,CUS00152,2023-12-21,,KTA (Personal Loan),Agent,Jawa Tengah,29,Employed,5576893,45251094,24,3.4,772,33.81,Pending
LN001411,CUS00518,2023-02-12,,KTA (Personal Loan),Mobile App,Sumatera Utara,42,Business Owner,6508633,28103394,24,3.06,598,17.99,Rejected
LN001412,CUS02058,2022-12-24,2022-12-28,PayLater,Mobile App,Kalimantan Timur,36,Employed,4713600,3401488,12,2.72,487,6.01,Approved
LN001413,CUS02418,2023-08-06,,Education Loan,Mobile App,Bali,35,Employed,1694160,6450764,1,2.91,682,380.76,Pending
LN001414,CUS01360,2023-12-29,,KTA (Personal Loan),Mobile App,Jawa Tengah,49,Employed,6100193,36307873,3,1.55,669,198.4,Pending
LN001415,CUS00412,2023-10-28,2023-11-02,PayLater,Web,Jawa Timur,26,Business Owner,6222518,3682403,24,2.86,652,2.47,Approved
LN001416,CUS03462,2024-11-11,,PayLater,Mobile App,Jawa Tengah,39,Business Owner,3324548,2116396,1,2.97,598,63.66,Pending
LN001417,CUS01804,2024-09-25,,Education Loan,Mobile App,Jawa Tengah,32,Employed,2313602,10492072,3,1.38,647,151.17,Pending
LN001418,CUS00409,2024-07-04,,KTA (Personal Loan),Mobile App,DKI Jakarta,34,Self-Employed,12121314,46178528,3,2.88,609,126.99,Rejected
LN001419,CUS02155,2022-06-10,,KTA (Personal Loan),Mobile App,DKI Jakarta,44,Employed,6714740,24201720,12,1.79,625,30.04,Pending
LN001420,CUS01872,2024-02-20,2024-02-23,PayLater,Mobile App,Jawa Barat,36,Business Owner,4357895,3441677,12,1.51,717,6.58,Approved
LN001421,CUS00063,2023-08-10,2023-08-14,PayLater,Mobile App,DKI Jakarta,36,Employed,2527468,649979,6,3.16,664,4.29,Approved
LN001422,CUS02960,2024-08-07,,KTA (Personal Loan),Partner API,Sulawesi Selatan,40,Business Owner,3053684,23633022,3,2.0,698,257.97,Pending
LN001423,CUS00591,2022-10-24,,KTA (Personal Loan),Mobile App,Banten,29,Freelancer,10924327,41776646,18,2.14,631,21.25,Pending
LN001424,CUS01680,2022-12-10,,KTA (Personal Loan),Mobile App,Jawa Timur,25,Student,5430520,22440920,24,2.99,622,17.22,Rejected
LN001425,CUS02682,2023-11-22,,KTA (Personal Loan),Mobile App,DKI Jakarta,23,Business Owner,3593352,32142252,1,2.35,557,894.49,Pending
LN001426,CUS00633,2024-05-13,,PayLater,Web,Jawa Timur,18,Employed,6788645,1444351,3,2.41,620,7.09,Rejected
LN001427,CUS00307,2024-04-08,,Business Loan,Partner API,Jawa Timur,48,Employed,3067304,89139873,12,2.4,384,242.18,Pending
LN001428,CUS01924,2022-05-27,,Education Loan,Agent,Jawa Barat,23,Employed,12304237,28190942,18,2.67,602,12.73,Pending
LN001429,CUS03202,2022-06-12,,Business Loan,Mobile App,Jawa Timur,30,Employed,11258441,117625832,18,2.39,643,58.04,Pending
LN001430,CUS01086,2022-11-28,2022-11-29,PayLater,Mobile App,Sumatera Utara,29,Employed,3779128,4558691,18,2.56,695,6.7,Approved
LN001431,CUS01387,2023-12-05,,PayLater,Mobile App,Banten,34,Self-Employed,3428887,4559086,24,2.25,628,5.54,Pending
