repayment_id,loan_id,customer_id,installment_no,due_date,paid_date,monthly_payment_idr,delay_days,repayment_status
RP0000036,LN000002,CUS00457,24,2025-01-12,2025-01-12,105744,0,On Time
RP0000037,LN000002,CUS00457,25,2025-02-11,2025-02-11,105744,0,On Time
RP0000038,LN000002,CUS00457,26,2025-03-13,2025-03-13,105744,0,On Time
RP0000039,LN000002,CUS00457,27,2025-04-12,2025-04-12,105744,0,On Time
RP0000040,LN000002,CUS00457,28,2025-05-12,2025-05-12,105744,0,On Time
RP0000041,LN000002,CUS00457,29,2025-06-11,2025-06-11,105744,0,On Time
RP0000042,LN000005,CUS01127,1,2023-01-29,2023-01-29,3355261,0,On Time
RP0000043,LN000005,CUS01127,2,2023-02-28,2023-02-28,3355261,0,On Time
RP0000044,LN000005,CUS01127,3,2023-03-30,2023-03-30,3355261,0,On Time
RP0000045,LN000005,CUS01127,4,2023-04-29,2023-04-29,3355261,0,On Time
RP0000046,LN000005,CUS01127,5,2023-05-29,2023-05-29,3355261,0,On Time
RP0000047,LN000005,CUS01127,6,2023-06-28,2023-06-28,3355261,0,On Time
RP0000048,LN000005,CUS01127,7,2023-07-28,2023-07-28,3355261,0,On Time
RP0000049,LN000005,CUS01127,8,2023-08-27,2023-08-27,3355261,0,On Time
RP0000050,LN000005,CUS01127,9,2023-09-26,2023-09-26,3355261,0,On Time
RP0000051,LN000005,CUS01127,10,2023-10-26,2023-10-26,3355261,0,On Time
RP0000052,LN000005,CUS01127,11,2023-11-25,2023-11-25,3355261,0,On Time
RP0000053,LN000005,CUS01127,12,2023-12-25,2023-12-25,3355261,0,On Time
RP0000054,LN000005,CUS01127,13,2024-01-24,2024-01-24,3355261,0,On Time
RP0000055,LN000005,CUS01127,14,2024-02-23,2024-02-23,3355261,0,On Time
RP0000056,LN000005,CUS01127,15,2024-03-24,2024-03-24,3355261,0,On Time
RP0000057,LN000005,CUS01127,16,2024-04-23,2024-04-23,3355261,0,On Time
RP0000058,LN000005,CUS01127,17,2024-05-23,2024-05-23,3355261,0,On Time
RP0000059,LN000005,CUS01127,18,2024-06-22,2024-06-22,3355261,0,On Time
RP0000060,LN000007,CUS00915,1,2022-04-19,2022-04-19,455678,0,On Time
RP0000061,LN000007,CUS00915,2,2022-05-19,2022-05-19,455678,0,On Time
RP0000062,LN000007,CUS00915,3,2022-06-18,2022-06-18,455678,0,On Time
RP0000063,LN000007,CUS00915,4,2022-07-18,2022-07-18,455678,0,On Time
RP0000064,LN000007,CUS00915,5,2022-08-17,2022-08-17,455678,0,On Time
RP0000065,LN000007,CUS00915,6,2022-09-16,2022-09-16,455678,0,On Time
RP0000066,LN000011,CUS02772,1,2023-04-29,2023-04-29,1324731,0,On Time
RP0000067,LN000011,CUS02772,2,2023-05-29,2023-05-29,1324731,0,On Time
RP0000068,LN000011,CUS02772,3,2023-06-28,2023-06-28,1324731,0,On Time
RP0000069,LN000012,CUS03034,1,2022-03-16,2022-03-16,2695732,0,On Time
RP0000070,LN000013,CUS02234,1,2025-01-15,2025-01-15,146432,0,On Time
RP0000071,LN000013,CUS02234,2,2025-02-14,2025-02-14,146432,0,On Time
RP0000072,LN000013,CUS02234,3,2025-03-16,2025-03-16,146432,0,On Time
RP0000073,LN000013,CUS02234,4,2025-04-15,2025-04-15,146432,0,On Time
RP0000074,LN000013,CUS02234,5,2025-05-15,2025-05-15,146432,0,On Time
RP0000075,LN000013,CUS02234,6,2025-06-14,2025-06-14,146432,0,On Time
RP0000076,LN000019,CUS00384,1,2024-01-02,2024-01-02,365076,0,On Time
RP0000077,LN000019,CUS00384,2,2024-02-01,2024-02-01,365076,0,On Time
RP0000078,LN000019,CUS00384,3,2024-03-02,2024-03-02,365076,0,On Time
RP0000079,LN000019,CUS00384,4,2024-04-01,2024-04-01,365076,0,On Time
RP0000080,LN000019,CUS00384,5,2024-05-01,2024-05-01,365076,0,On Time
RP0000081,LN000019,CUS00384,6,2024-05-31,2024-05-31,365076,0,On Time
RP0000082,LN000020,CUS00896,1,2023-01-30,2023-01-30,871676,0,On Time
RP0000083,LN000024,CUS00109,1,2022-12-02,2022-12-02,618177,0,On Time
RP0000084,LN000024,CUS00109,2,2023-01-01,2023-01-01,618177,0,On Time
RP0000085,LN000024,CUS00109,3,2023-01-31,2023-01-31,618177,0,On Time
RP0000086,LN000024,CUS00109,4,2023-03-02,2023-03-02,618177,0,On Time
RP0000087,LN000024,CUS00109,5,2023-04-01,2023-04-01,618177,0,On Time
RP0000088,LN000024,CUS00109,6,2023-05-01,2023-05-01,618177,0,On Time
RP0000089,LN000031,CUS01719,1,2024-04-25,2024-04-25,165853,0,On Time
RP0000090,LN000031,CUS01719,2,2024-05-25,2024-05-25,165853,0,On Time
RP0000091,LN000031,CUS01719,3,2024-06-24,2024-06-24,165853,0,On Time
RP0000092,LN000031,CUS01719,4,2024-07-24,2024-07-24,165853,0,On Time
RP0000093,LN000031,CUS01719,5,2024-08-23,2024-08-23,165853,0,On Time
RP0000094,LN000031,CUS01719,6,2024-09-22,2024-09-22,165853,0,On Time
RP0000095,LN000031,CUS01719,7,2024-10-22,2024-10-22,165853,0,On Time
RP0000096,LN000031,CUS01719,8,2024-11-21,2024-11-21,165853,0,On Time
RP0000097,LN000031,CUS01719,9,2024-12-21,2024-12-21,165853,0,On Time
RP0000098,LN000031,CUS01719,10,2025-01-20,2025-01-20,165853,0,On Time
RP0000099,LN000031,CUS01719,11,2025-02-19,2025-02-19,165853,0,On Time
RP0000100,LN000031,CUS01719,12,2025-03-21,2025-03-21,165853,0,On Time
RP0000101,LN000031,CUS01719,13,2025-04-20,2025-04-20,165853,0,On Time
RP0000102,LN000031,CUS01719,14,2025-05-20,2025-05-20,165853,0,On Time
RP0000103,LN000031,CUS01719,15,2025-06-19,2025-06-19,165853,0,On Time
RP0000104,LN000037,CUS00027,1,2022-12-23,2022-12-23,336297,0,On Time
RP0000105,LN000037,CUS00027,2,2023-01-22,2023-01-22,336297,0,On Time
RP0000106,LN000037,CUS00027,3,2023-02-21,2023-02-21,336297,0,On Time
RP0000107,LN000037,CUS00027,4,2023-03-23,2023-03-23,336297,0,On Time
RP0000108,LN000037,CUS00027,5,2023-04-22,2023-04-22,336297,0,On Time
RP0000109,LN000037,CUS00027,6,2023-05-22,2023-05-22,336297,0,On Time
RP0000110,LN000037,CUS00027,7,2023-06-21,2023-06-21,336297,0,On Time
RP0000111,LN000037,CUS00027,8,2023-07-21,2023-07-21,336297,0,On Time
RP0000112,LN000037,CUS00027,9,2023-08-20,2023-08-20,336297,0,On Time
RP0000113,LN000037,CUS00027,10,2023-09-19,2023-09-19,336297,0,On Time
RP0000114,LN000037,CUS00027,11,2023-10-19,2023-10-19,336297,0,On Time
RP0000115,LN000037,CUS00027,12,2023-11-18,2023-11-18,336297,0,On Time
RP0000116,LN000037,CUS00027,13,2023-12-18,2023-12-18,336297,0,On Time
RP0000117,LN000037,CUS00027,14,2024-01-17,2024-01-17,336297,0,On Time
RP0000118,LN000037,CUS00027,15,2024-02-16,2024-02-16,336297,0,On Time
RP0000119,LN000037,CUS00027,16,2024-03-17,2024-03-17,336297,0,On Time
RP0000120,LN000037,CUS00027,17,2024-04-16,2024-04-16,336297,0,On Time
RP0000121,LN000037,CUS00027,18,2024-05-16,2024-05-16,336297,0,On Time
RP0000122,LN000037,CUS00027,19,2024-06-15,2024-06-15,336297,0,On Time
RP0000123,LN000037,CUS00027,20,2024-07-15,2024-07-15,336297,0,On Time
RP0000124,LN000037,CUS00027,21,2024-08-14,2024-08-14,336297,0,On Time
RP0000125,LN000037,CUS00027,22,2024-09-13,2024-09-13,336297,0,On Time
RP0000126,LN000037,CUS00027,23,2024-10-13,2024-10-13,336297,0,On Time
RP0000127,LN000037,CUS00027,24,2024-11-12,2024-11-12,336297,0,On Time
RP0000128,LN000040,CUS00654,1,2023-11-14,2023-11-14,900891,0,On Time
RP0000129,LN000040,CUS00654,2,2023-12-14,2023-12-14,900891,0,On Time
RP0000130,LN000040,CUS00654,3,2024-01-13,2024-01-13,900891,0,On Time
RP0000131,LN000040,CUS00654,4,2024-02-12,2024-02-12,900891,0,On Time
RP0000132,LN000040,CUS00654,5,2024-03-13,2024-03-13,900891,0,On Time
RP0000133,LN000040,CUS00654,6,2024-04-12,2024-04-12,900891,0,On Time
RP0000134,LN000044,CUS01139,1,2023-01-26,2023-01-26,249147,0,On Time
RP0000135,LN000044,CUS01139,2,2023-02-25,2023-02-25,249147,0,On Time
RP0000136,LN000044,CUS01139,3,2023-03-27,2023-03-27,249147,0,On Time
RP0000137,LN000044,CUS01139,4,2023-04-26,2023-04-26,249147,0,On Time
RP0000138,LN000044,CUS01139,5,2023-05-26,2023-05-26,249147,0,On Time
RP0000139,LN000044,CUS01139,6,2023-06-25,2023-06-25,249147,0,On Time
RP0000140,LN000044,CUS01139,7,2023-07-25,2023-07-25,249147,0,On Time
RP0000141,LN000044,CUS01139,8,2023-08-24,2023-08-24,249147,0,On Time
RP0000142,LN000044,CUS01139,9,2023-09-23,2023-09-23,249147,0,On Time
RP0000143,LN000044,CUS01139,10,2023-10-23,2023-10-23,249147,0,On Time
RP0000144,LN000044,CUS01139,11,2023-11-22,2023-11-22,249147,0,On Time
RP0000145,LN000044,CUS01139,12,2023-12-22,2023-12-22,249147,0,On Time
RP0000146,LN000046,CUS00882,1,2023-10-23,2023-10-23,371363,0,On Time
RP0000147,LN000046,CUS00882,2,2023-11-22,2023-11-22,371363,0,On Time
RP0000148,LN000046,CUS00882,3,2023-12-22,2023-12-22,371363,0,On Time
RP0000149,LN000046,CUS00882,4,2024-01-21,2024-01-21,371363,0,On Time
RP0000150,LN000046,CUS00882,5,2024-02-20,2024-02-20,371363,0,On Time
RP0000151,LN000046,CUS00882,6,2024-03-21,2024-03-21,371363,0,On Time
RP0000152,LN000046,CUS00882,7,2024-04-20,2024-04-20,371363,0,On Time
RP0000153,LN000046,CUS00882,8,2024-05-20,2024-05-20,371363,0,On Time
RP0000154,LN000046,CUS00882,9,2024-06-19,2024-06-19,371363,0,On Time
RP0000155,LN000046,CUS00882,10,2024-07-19,2024-07-19,371363,0,On Time
RP0000156,LN000046,CUS00882,11,2024-08-18,2024-08-18,371363,0,On Time
RP0000157,LN000046,CUS00882,12,2024-09-17,2024-09-17,371363,0,On Time
RP0000158,LN000049,CUS00419,1,2023-01-30,2023-01-30,3278048,0,On Time
RP0000159,LN000049,CUS00419,2,2023-03-01,2023-03-01,3278048,0,On Time
RP0000160,LN000049,CUS00419,3,2023-03-31,2023-03-31,3278048,0,On Time
RP0000161,LN000049,CUS00419,4,2023-04-30,2023-04-30,3278048,0,On Time
RP0000162,LN000049,CUS00419,5,2023-05-30,2023-05-30,3278048,0,On Time
RP0000163,LN000049,CUS00419,6,2023-06-29,2023-06-29,3278048,0,On Time
RP0000164,LN000050,CUS00380,1,2022-02-08,2022-02-08,551390,0,On Time
RP0000165,LN000050,CUS00380,2,2022-03-10,2022-03-10,551390,0,On Time
RP0000166,LN000050,CUS00380,3,2022-04-09,2022-04-09,551390,0,On Time
RP0000167,LN000050,CUS00380,4,2022-05-09,2022-05-09,551390,0,On Time
RP0000168,LN000050,CUS00380,5,2022-06-08,2022-06-08,551390,0,On Time
RP0000169,LN000050,CUS00380,6,2022-07-08,2022-07-08,551390,0,On Time
RP0000170,LN000050,CUS00380,7,2022-08-07,2022-08-07,551390,0,On Time
RP0000171,LN000050,CUS00380,8,2022-09-06,2022-09-06,551390,0,On Time
RP0000172,LN000050,CUS00380,9,2022-10-06,2022-10-06,551390,0,On Time
RP0000173,LN000050,CUS00380,10,2022-11-05,2022-11-05,551390,0,On Time
RP0000174,LN000050,CUS00380,11,2022-12-05,2022-12-05,551390,0,On Time
RP0000175,LN000050,CUS00380,12,2023-01-04,2023-01-04,551390,0,On Time
RP0000176,LN000052,CUS00397,1,2022-04-09,2022-04-09,247730,0,On Time
RP0000177,LN000052,CUS00397,2,2022-05-09,2022-05-09,247730,0,On Time
RP0000178,LN000052,CUS00397,3,2022-06-08,2022-06-08,247730,0,On Time
RP0000179,LN000052,CUS00397,4,2022-07-08,2022-07-08,247730,0,On Time
RP0000180,LN000052,CUS00397,5,2022-08-07,2022-08-07,247730,0,On Time
RP0000181,LN000052,CUS00397,6,2022-09-06,2022-09-06,247730,0,On Time
RP0000182,LN000052,CUS00397,7,2022-10-06,2022-10-06,247730,0,On Time
RP0000183,LN000052,CUS00397,8,2022-11-05,2022-11-05,247730,0,On Time
RP0000184,LN000052,CUS00397,9,2022-12-05,2022-12-05,247730,0,On Time
RP0000185,LN000052,CUS00397,10,2023-01-04,2023-01-04,247730,0,On Time
RP0000186,LN000052,CUS00397,11,2023-02-03,2023-02-03,247730,0,On Time
RP0000187,LN000052,CUS00397,12,2023-03-05,2023-03-05,247730,0,On Time
RP0000188,LN000053,CUS01471,1,2023-02-08,2023-02-08,974038,0,On Time
RP0000189,LN000053,CUS01471,2,2023-03-10,2023-03-10,974038,0,On Time
RP0000190,LN000053,CUS01471,3,2023-04-09,2023-04-09,974038,0,On Time
RP0000191,LN000053,CUS01471,4,2023-05-09,2023-05-09,974038,0,On Time
RP0000192,LN000053,CUS01471,5,2023-06-08,2023-06-08,974038,0,On Time
RP0000193,LN000053,CUS01471,6,2023-07-08,2023-07-08,974038,0,On Time
RP0000194,LN000056,CUS02473,1,2022-09-06,2022-09-06,796446,0,On Time
RP0000195,LN000056,CUS02473,2,2022-10-06,2022-10-06,796446,0,On Time
RP0000196,LN000056,CUS02473,3,2022-11-05,2022-11-05,796446,0,On Time
RP0000197,LN000057,CUS01084,1,2024-11-16,2024-11-16,268117,0,On Time
RP0000198,LN000057,CUS01084,2,2024-12-16,2024-12-16,268117,0,On Time
RP0000199,LN000057,CUS01084,3,2025-01-15,2025-01-15,268117,0,On Time
RP0000200,LN000057,CUS01084,4,2025-02-14,2025-02-14,268117,0,On Time
RP0000201,LN000057,CUS01084,5,2025-03-16,2025-03-16,268117,0,On Time
RP0000202,LN000057,CUS01084,6,2025-04-15,2025-04-15,268117,0,On Time
RP0000203,LN000059,CUS00178,1,2023-12-11,2023-12-11,276275,0,On Time
RP0000204,LN000059,CUS00178,2,2024-01-10,2024-01-10,276275,0,On Time
RP0000205,LN000059,CUS00178,3,2024-02-09,2024-02-09,276275,0,On Time
RP0000206,LN000059,CUS00178,4,2024-03-10,2024-03-10,276275,0,On Time
RP0000207,LN000059,CUS00178,5,2024-04-09,2024-04-09,276275,0,On Time
RP0000208,LN000059,CUS00178,6,2024-05-09,2024-05-09,276275,0,On Time
RP0000209,LN000059,CUS00178,7,2024-06-08,2024-06-08,276275,0,On Time
RP0000210,LN000059,CUS00178,8,2024-07-08,2024-07-08,276275,0,On Time
RP0000211,LN000059,CUS00178,9,2024-08-07,2024-08-07,276275,0,On Time
RP0000212,LN000059,CUS00178,10,2024-09-06,2024-09-06,276275,0,On Time
RP0000213,LN000059,CUS00178,11,2024-10-06,2024-10-06,276275,0,On Time
RP0000214,LN000059,CUS00178,12,2024-11-05,2024-11-05,276275,0,On Time
RP0000215,LN000062,CUS02197,1,2024-01-13,2024-01-13,366177,0,On Time
RP0000216,LN000062,CUS02197,2,2024-02-12,2024-02-12,366177,0,On Time
RP0000217,LN000062,CUS02197,3,2024-03-13,2024-03-13,366177,0,On Time
RP0000218,LN000062,CUS02197,4,2024-04-12,2024-04-12,366177,0,On Time
RP0000219,LN000062,CUS02197,5,2024-05-12,2024-05-12,366177,0,On Time
RP0000220,LN000062,CUS02197,6,2024-06-11,2024-06-11,366177,0,On Time
RP0000221,LN000064,CUS01551,1,2023-01-11,2023-01-11,430555,0,On Time
RP0000222,LN000064,CUS01551,2,2023-02-10,2023-02-10,430555,0,On Time
RP0000223,LN000064,CUS01551,3,2023-03-12,2023-03-12,430555,0,On Time
RP0000224,LN000064,CUS01551,4,2023-04-11,2023-04-11,430555,0,On Time
RP0000225,LN000064,CUS01551,5,2023-05-11,2023-05-11,430555,0,On Time
RP0000226,LN000064,CUS01551,6,2023-06-10,2023-06-10,430555,0,On Time
RP0000227,LN000064,CUS01551,7,2023-07-10,2023-07-10,430555,0,On Time
RP0000228,LN000064,CUS01551,8,2023-08-09,2023-08-09,430555,0,On Time
RP0000229,LN000064,CUS01551,9,2023-09-08,2023-09-08,430555,0,On Time
RP0000230,LN000064,CUS01551,10,2023-10-08,2023-10-08,430555,0,On Time
RP0000231,LN000064,CUS01551,11,2023-11-07,2023-11-07,430555,0,On Time
RP0000232,LN000064,CUS01551,12,2023-12-07,2023-12-07,430555,0,On Time
RP0000233,LN000064,CUS01551,13,2024-01-06,2024-01-06,430555,0,On Time
RP0000234,LN000064,CUS01551,14,2024-02-05,2024-02-05,430555,0,On Time
RP0000235,LN000064,CUS01551,15,2024-03-06,2024-03-06,430555,0,On Time
RP0000236,LN000064,CUS01551,16,2024-04-05,2024-04-05,430555,0,On Time
RP0000237,LN000064,CUS01551,17,2024-05-05,2024-05-05,430555,0,On Time
RP0000238,LN000064,CUS01551,18,2024-06-04,2024-06-04,430555,0,On Time
RP0000239,LN000064,CUS01551,19,2024-07-04,2024-07-04,430555,0,On Time
RP0000240,LN000064,CUS01551,20,2024-08-03,2024-08-03,430555,0,On Time
RP0000241,LN000064,CUS01551,21,2024-09-02,2024-09-02,430555,0,On Time
RP0000242,LN000064,CUS01551,22,2024-10-02,2024-10-02,430555,0,On Time
RP0000243,LN000064,CUS01551,23,2024-11-01,2024-11-01,430555,0,On Time
RP0000244,LN000064,CUS01551,24,2024-12-01,2024-12-01,430555,0,On Time
RP0000245,LN000068,CUS03398,1,2022-02-24,2022-02-24,807829,0,On Time
RP0000246,LN000070,CUS02534,1,2023-04-09,2023-04-09,483389,0,On Time
RP0000247,LN000070,CUS02534,2,2023-05-09,2023-05-09,483389,0,On Time
RP0000248,LN000070,CUS02534,3,2023-06-08,2023-06-08,483389,0,On Time
RP0000249,LN000070,CUS02534,4,2023-07-08,2023-07-08,483389,0,On Time
RP0000250,LN000070,CUS02534,5,2023-08-07,2023-08-07,483389,0,On Time
RP0000251,LN000070,CUS02534,6,2023-09-06,2023-09-06,483389,0,On Time
RP0000252,LN000070,CUS02534,7,2023-10-06,2023-10-06,483389,0,On Time
RP0000253,LN000070,CUS02534,8,2023-11-05,2023-11-05,483389,0,On Time
RP0000254,LN000070,CUS02534,9,2023-12-05,2023-12-05,483389,0,On Time
RP0000255,LN000070,CUS02534,10,2024-01-04,2024-01-04,483389,0,On Time
RP0000256,LN000070,CUS02534,11,2024-02-03,2024-02-03,483389,0,On Time
RP0000257,LN000070,CUS02534,12,2024-03-04,2024-03-04,483389,0,On Time
RP0000258,LN000070,CUS02534,13,2024-04-03,2024-04-03,483389,0,On Time
RP0000259,LN000070,CUS02534,14,2024-05-03,2024-05-03,483389,0,On Time
RP0000260,LN000070,CUS02534,15,2024-06-02,2024-06-02,483389,0,On Time
RP0000261,LN000070,CUS02534,16,2024-07-02,2024-07-02,483389,0,On Time
RP0000262,LN000070,CUS02534,17,2024-08-01,2024-08-01,483389,0,On Time
RP0000263,LN000070,CUS02534,18,2024-08-31,2024-08-31,483389,0,On Time
RP0000264,LN000075,CUS00285,1,2022-09-12,2022-09-12,171166,0,On Time
RP0000265,LN000075,CUS00285,2,2022-10-12,2022-10-12,171166,0,On Time
RP0000266,LN000075,CUS00285,3,2022-11-11,2022-11-11,171166,0,On Time
RP0000267,LN000075,CUS00285,4,2022-12-11,2022-12-11,171166,0,On Time
RP0000268,LN000075,CUS00285,5,2023-01-10,2023-01-10,171166,0,On Time
RP0000269,LN000075,CUS00285,6,2023-02-09,2023-02-09,171166,0,On Time
RP0000270,LN000076,CUS00188,1,2022-02-04,2022-02-04,420160,0,On Time
RP0000271,LN000076,CUS00188,2,2022-03-06,2022-03-06,420160,0,On Time
RP0000272,LN000076,CUS00188,3,2022-04-05,2022-04-05,420160,0,On Time
RP0000273,LN000076,CUS00188,4,2022-05-05,2022-05-05,420160,0,On Time
RP0000274,LN000076,CUS00188,5,2022-06-04,2022-06-04,420160,0,On Time
RP0000275,LN000076,CUS00188,6,2022-07-04,2022-07-04,420160,0,On Time
RP0000276,LN000076,CUS00188,7,2022-08-03,2022-08-03,420160,0,On Time
RP0000277,LN000076,CUS00188,8,2022-09-02,2022-09-02,420160,0,On Time
RP0000278,LN000076,CUS00188,9,2022-10-02,2022-10-02,420160,0,On Time
RP0000279,LN000076,CUS00188,10,2022-11-01,2022-11-01,420160,0,On Time
RP0000280,LN000076,CUS00188,11,2022-12-01,2022-12-01,420160,0,On Time
RP0000281,LN000076,CUS00188,12,2022-12-31,2022-12-31,420160,0,On Time
RP0000282,LN000080,CUS01186,1,2024-06-10,2024-06-10,205992,0,On Time
RP0000283,LN000080,CUS01186,2,2024-07-10,2024-07-10,205992,0,On Time
RP0000284,LN000080,CUS01186,3,2024-08-09,2024-08-09,205992,0,On Time
RP0000285,LN000080,CUS01186,4,2024-09-08,2024-09-08,205992,0,On Time
RP0000286,LN000080,CUS01186,5,2024-10-08,2024-10-08,205992,0,On Time
RP0000287,LN000080,CUS01186,6,2024-11-07,2024-11-07,205992,0,On Time
RP0000288,LN000080,CUS01186,7,2024-12-07,2024-12-07,205992,0,On Time
RP0000289,LN000080,CUS01186,8,2025-01-06,2025-01-06,205992,0,On Time
RP0000290,LN000080,CUS01186,9,2025-02-05,2025-02-05,205992,0,On Time
RP0000291,LN000080,CUS01186,10,2025-03-07,2025-03-07,205992,0,On Time
RP0000292,LN000080,CUS01186,11,2025-04-06,2025-04-06,205992,0,On Time
RP0000293,LN000080,CUS01186,12,2025-05-06,2025-05-06,205992,0,On Time
RP0000294,LN000080,CUS01186,13,2025-06-05,2025-06-05,205992,0,On Time
RP0000295,LN000081,CUS00327,1,2023-01-09,2023-01-09,372526,0,On Time
RP0000296,LN000081,CUS00327,2,2023-02-08,2023-02-08,372526,0,On Time
RP0000297,LN000081,CUS00327,3,2023-03-10,2023-03-10,372526,0,On Time
RP0000298,LN000081,CUS00327,4,2023-04-09,2023-04-09,372526,0,On Time
RP0000299,LN000081,CUS00327,5,2023-05-09,2023-05-09,372526,0,On Time
RP0000300,LN000081,CUS00327,6,2023-06-08,2023-06-08,372526,0,On Time
RP0000301,LN000081,CUS00327,7,2023-07-08,2023-07-08,372526,0,On Time
RP0000302,LN000081,CUS00327,8,2023-08-07,2023-08-07,372526,0,On Time
RP0000303,LN000081,CUS00327,9,2023-09-06,2023-09-06,372526,0,On Time
RP0000304,LN000081,CUS00327,10,2023-10-06,2023-10-06,372526,0,On Time
RP0000305,LN000081,CUS00327,11,2023-11-05,2023-11-05,372526,0,On Time
RP0000306,LN000081,CUS00327,12,2023-12-05,2023-12-05,372526,0,On Time
RP0000307,LN000081,CUS00327,13,2024-01-04,2024-01-04,372526,0,On Time
RP0000308,LN000081,CUS00327,14,2024-02-03,2024-02-03,372526,0,On Time
RP0000309,LN000081,CUS00327,15,2024-03-04,2024-03-04,372526,0,On Time
RP0000310,LN000081,CUS00327,16,2024-04-03,2024-04-03,372526,0,On Time
RP0000311,LN000081,CUS00327,17,2024-05-03,2024-05-03,372526,0,On Time
RP0000312,LN000081,CUS00327,18,2024-06-02,2024-06-02,372526,0,On Time
RP0000313,LN000082,CUS00954,1,2024-06-01,2024-06-01,102737,0,On Time
RP0000314,LN000082,CUS00954,2,2024-07-01,2024-07-01,102737,0,On Time
RP0000315,LN000082,CUS00954,3,2024-07-31,2024-07-31,102737,0,On Time
RP0000316,LN000082,CUS00954,4,2024-08-30,2024-08-30,102737,0,On Time
RP0000317,LN000082,CUS00954,5,2024-09-29,2024-09-29,102737,0,On Time
RP0000318,LN000082,CUS00954,6,2024-10-29,2024-10-29,102737,0,On Time
RP0000319,LN000082,CUS00954,7,2024-11-28,2024-11-28,102737,0,On Time
RP0000320,LN000082,CUS00954,8,2024-12-28,2024-12-28,102737,0,On Time
RP0000321,LN000082,CUS00954,9,2025-01-27,2025-01-27,102737,0,On Time
RP0000322,LN000082,CUS00954,10,2025-02-26,2025-02-26,102737,0,On Time
RP0000323,LN000082,CUS00954,11,2025-03-28,2025-03-28,102737,0,On Time
RP0000324,LN000082,CUS00954,12,2025-04-27,2025-04-27,102737,0,On Time
RP0000325,LN000083,CUS00414,1,2024-11-06,2024-11-06,287240,0,On Time
RP0000326,LN000083,CUS00414,2,2024-12-06,2024-12-06,287240,0,On Time
RP0000327,LN000083,CUS00414,3,2025-01-05,2025-01-05,287240,0,On Time
RP0000328,LN000083,CUS00414,4,2025-02-04,2025-02-04,287240,0,On Time
RP0000329,LN000083,CUS00414,5,2025-03-06,2025-03-06,287240,0,On Time
RP0000330,LN000083,CUS00414,6,2025-04-05,2025-04-05,287240,0,On Time
